emoticon_code,description
 (=O*_*)=O Q(*_*Q),trận đánh
 ʕ·͡ᴥ·ʔ﻿ /,con gấu
 ۜ\(סּںסּَ` )/ۜ,mỉm cười
 ლ(ಠ益ಠლ) ,sự tức giận
 （,mồ hôi
!! ( ･_･)_ …-=≡ξ;ﾟｏﾟ),trận đánh
!! ((((((っ;ﾟ∀ﾟ)っ,mồ hôi
!! o(*≧д≦)o) ),sự tức giận
!! o(*≧д≦)o)),sự tức giận
!!! /( ＿0＿)￣θ☆≡≡≡≡≡○　┏┓,bóng đá
!!!!!(o≧o≦)○))ｏ(＿＿*)Ｚｚｚ,sự tức giận
!!!!|┛*｀Д´|┛・・~~┻━┻　┳━┳,tage_flip
!!!( ͡° ʖ̯ ͡°)⊃―━━✲⌒*/╲/( ͡° ͡° ͜ʖ ͡° ͡°)/\╱\.,nhện
!!!(*｀ω´)/――――― ●)´Дﾟ),trận đánh
!!!(つ´∀｀):･’.::･====≡つ)´Д｀):∵,trận đánh
!!!（╯°□°）╯ミ /╲/( ͜。 ͜。 ͡ʖ ͜。 ͜。)/\╱\,nhện
!!( *д*):･’ .::･(ｰｰ; ),mồ hôi
!!( *д*):･’.::･(ｰｰ; ),mồ hôi
!!( ･_･)r鹵~<巛巛巛(x_x),chết
!!((((((っ;ﾟ∀ﾟ)っ,mồ hôi
!!(((((っ;ﾟ∀ﾟ)っ,mồ hôi
!!(*｀・д・)_／☆( ﾟωﾟ),trận đánh
!!(*ﾉ´∀｀)ﾉ‥‥…━━━━━☆,đũa
!!(/_･)/D=============∋-(><)→,bắn cung
!!(;ﾟﾛﾟﾉ)ﾉ,mồ hôi
!!(　’ ‘) ﾉ ﾉ⌒●~*,bom
!!(　’ ‘)ﾉﾉ⌒●~*,bom
!!(つ｀･ω･)つ三○　三○)ﾟдﾟ;),mồ hôi
!!(･∇･｀ゞ,salute_wave
!!(ﾉﾟﾛﾟ)o･：*‥…━━━☆)ﾟ3ﾟ(★━━━…‥*：･o(ﾟﾛﾟヽ),đũa
!!(ﾉﾟﾛﾟ)o･：*…━━━☆)ﾟ3ﾟ(★━━━…‥*：･o(ﾟﾛﾟヽ),đũa
!!(ﾒ￣ ￣)_θ☆ﾟ0ﾟ)/,trận đánh
!!Σ(ﾟДﾟ;≡ ≡≡≡≡ヾ(;ﾟдﾟ)/,đang chạy
!!Σ(ﾟДﾟ;≡≡≡≡≡ヾ(;ﾟдﾟ)/,đang chạy
!!Σ(ﾟДﾟ;≡≡≡≡ヾ(;ﾟдﾟ)/,đang chạy
!!Σ≡≡((っ`･Å･)っ,đang chạy
!!Σ≡≡≡((っ`･Å･)っ,buồn
!!θ(　ﾟДﾟ)＝θ☆,trận đánh
!!”(*>∀<)o(酒)”,hào hứng
!!≡≡≡ﾍ(*-ω-)ﾉ,đang chạy
!( ｀皿 ´)o/)≡≡≡≡≡≡≡>十○,gươm
!( ･д･)_ ⌒ 　∑>―(;･◇･)ﾉ→,bắn cung
!(#ﾟДﾟ)ゞ‥･･━━━━━━旦~☆))｀ωﾟ)･;’.,đồ ăn
!(*´ ∀｀*)尸”,mỉm cười
!(*´∀｀*)尸”,đỏ mặt
!(;｀-)/￣￣￣￣￣>ﾟ)))>彡,cá
!(;￢_￢) ﾉ ～━━━∈☆)ﾟｏﾟ ;)/,trận đánh
!(^^)!,ngạc nhiên
!(ෆ’∀’ෆ)!,mỉm cười
!(ᵒ̤̑ ◁ ᵒ̤̑ )wow!৹ᢄᵍᵎᵎ,ngạc nhiên
!(ᵒ̤̑ ◁ ᵒ̤̑) wow!৹ᢄᵍᵎᵎ,ngạc nhiên
!(•̀ᴗ•́)و ̑̑,mỉm cười
!(♥/³/♥)/*,trái tim
!(　・∀)つ且~~⊂(´∀｀ ),trận đánh
!(。-ω-)_ ⌒　Σ>―(;=◇=)ﾉ→,bắn cung
