emoticon_code,description,emoticon_type
 (=O*_*)=O Q(*_*Q),trận đánh,kaomoji
 ʕ·͡ᴥ·ʔ﻿ /,con gấu,kaomoji
 ۜ\(סּںסּَ` )/ۜ,mỉm cười,kaomoji
 ლ(ಠ益ಠლ) ,sự tức giận,kaomoji
 （,mồ hôi,western
!! ( ･_･)_ …-=≡ξ;ﾟｏﾟ),trận đánh,kaomoji
!! ((((((っ;ﾟ∀ﾟ)っ,mồ hôi,kaomoji
!! o(*≧д≦)o) ),sự tức giận,kaomoji
!! o(*≧д≦)o)),sự tức giận,kaomoji
!!! /( ＿0＿)￣θ☆≡≡≡≡≡○　┏┓,bóng đá,kaomoji
!!!!!(o≧o≦)○))ｏ(＿＿*)Ｚｚｚ,sự tức giận,kaomoji
!!!!|┛*｀Д´|┛・・~~┻━┻　┳━┳,tage_flip,kaomoji
!!!( ͡° ʖ̯ ͡°)⊃―━━✲⌒*/╲/( ͡° ͡° ͜ʖ ͡° ͡°)/\╱\.,nhện,kaomoji
!!!(*｀ω´)/――――― ●)´Дﾟ),trận đánh,kaomoji
!!!(つ´∀｀):･’.::･====≡つ)´Д｀):∵,trận đánh,kaomoji
!!!（╯°□°）╯ミ /╲/( ͜。 ͜。 ͡ʖ ͜。 ͜。)/\╱\,nhện,kaomoji
!!( *д*):･’ .::･(ｰｰ; ),mồ hôi,kaomoji
!!( *д*):･’.::･(ｰｰ; ),mồ hôi,kaomoji
!!( ･_･)r鹵~<巛巛巛(x_x),chết,kaomoji
!!((((((っ;ﾟ∀ﾟ)っ,mồ hôi,kaomoji
!!(((((っ;ﾟ∀ﾟ)っ,mồ hôi,kaomoji
!!(*｀・д・)_／☆( ﾟωﾟ),trận đánh,kaomoji
!!(*ﾉ´∀｀)ﾉ‥‥…━━━━━☆,đũa,kaomoji
!!(/_･)/D=============∋-(><)→,bắn cung,kaomoji
!!(;ﾟﾛﾟﾉ)ﾉ,mồ hôi,kaomoji
!!(　’ ‘) ﾉ ﾉ⌒●~*,bom,kaomoji
!!(　’ ‘)ﾉﾉ⌒●~*,bom,kaomoji
!!(つ｀･ω･)つ三○　三○)ﾟдﾟ;),mồ hôi,kaomoji
!!(･∇･｀ゞ,salute_wave,kaomoji
!!(ﾉﾟﾛﾟ)o･：*‥…━━━☆)ﾟ3ﾟ(★━━━…‥*：･o(ﾟﾛﾟヽ),đũa,kaomoji
!!(ﾉﾟﾛﾟ)o･：*…━━━☆)ﾟ3ﾟ(★━━━…‥*：･o(ﾟﾛﾟヽ),đũa,kaomoji
!!(ﾒ￣ ￣)_θ☆ﾟ0ﾟ)/,trận đánh,kaomoji
!!Σ(ﾟДﾟ;≡ ≡≡≡≡ヾ(;ﾟдﾟ)/,đang chạy,kaomoji
!!Σ(ﾟДﾟ;≡≡≡≡≡ヾ(;ﾟдﾟ)/,đang chạy,kaomoji
!!Σ(ﾟДﾟ;≡≡≡≡ヾ(;ﾟдﾟ)/,đang chạy,kaomoji
!!Σ≡≡((っ`･Å･)っ,đang chạy,kaomoji
!!Σ≡≡≡((っ`･Å･)っ,buồn,kaomoji
!!θ(　ﾟДﾟ)＝θ☆,trận đánh,kaomoji
!!”(*>∀<)o(酒)”,hào hứng,kaomoji
!!≡≡≡ﾍ(*-ω-)ﾉ,đang chạy,kaomoji
!( ｀皿 ´)o/)≡≡≡≡≡≡≡>十○,gươm,kaomoji
!( ･д･)_ ⌒ 　∑>―(;･◇･)ﾉ→,bắn cung,kaomoji
!(#ﾟДﾟ)ゞ‥･･━━━━━━旦~☆))｀ωﾟ)･;’.,đồ ăn,kaomoji
!(*´ ∀｀*)尸”,mỉm cười,kaomoji
!(*´∀｀*)尸”,đỏ mặt,kaomoji
!(;｀-)/￣￣￣￣￣>ﾟ)))>彡,cá,kaomoji
!(;￢_￢) ﾉ ～━━━∈☆)ﾟｏﾟ ;)/,trận đánh,kaomoji
!(^^)!,ngạc nhiên,kaomoji
!(ෆ’∀’ෆ)!,mỉm cười,kaomoji
!(ᵒ̤̑ ◁ ᵒ̤̑ )wow!৹ᢄᵍᵎᵎ,ngạc nhiên,kaomoji
!(ᵒ̤̑ ◁ ᵒ̤̑) wow!৹ᢄᵍᵎᵎ,ngạc nhiên,kaomoji
!(•̀ᴗ•́)و ̑̑,mỉm cười,kaomoji
!(♥/³/♥)/*,trái tim,kaomoji
!(　・∀)つ且~~⊂(´∀｀ ),trận đánh,kaomoji
!(。-ω-)_ ⌒　Σ>―(;=◇=)ﾉ→,bắn cung,kaomoji
!(ﾉ｀◎´)ﾉ ρ ┳┷┳ﾟσ(￣○￣￣;;),nháy mắt,kaomoji
!(ﾉ｀◎´)ﾉ ρ┳┷┳ﾟσ(￣○￣￣;;),nháy mắt,kaomoji
!(ﾉ｀◎´)ﾉミρ┳┷┳ﾟσ(￣○￣;;),nháy mắt,kaomoji
!(￣o￣ )ﾉ v⌒v⌒v⌒v⌒ ミ●~*☆(((≪*☆*BOMB*☆*≫))),bom,kaomoji
!-٩(͡๏̯͡๏)۶_-! =d ?¯\_(⊙︿⊙)_/¯,nhún vai,kaomoji
!o◡O!,ngạc nhiên,kaomoji
!ε!),hôn,western
!⑈ˆ~ˆ!!⑈ˆ~ˆ!⑈(*^ -^*)(*^ -^*),mỉm cười,kaomoji
!ヽ(ﾒ｀⌒´)θ☆===========(((旦~~,sự tức giận,kaomoji
!ヾ(▼皿▼ﾒ)┌θ☆(ﾉ □ )ﾉ ﾟ ﾟ,kính,kaomoji
"""˃̣̣̥ - ˂̣̣̥",khóc,kaomoji
"""˃̣̣̥ - ˂̣̣̥""",khóc,kaomoji
"""୧༼ಠ益ಠ༽୨",sự tức giận,kaomoji
"""୧༼ಠ益ಠ༽୨ o͡͡͡͡͡͡╮(｡>口<｡)╭o͡͡͡͡͡͡",sự tức giận,kaomoji
"""♨️️",đồ ăn,kaomoji
"""✌(-‿-)✌"",",mỉm cười,kaomoji
#^_^#,đỏ mặt,kaomoji
#◠‿✈‿◠#,đỏ mặt,kaomoji
$ ̲̅ (̲̅ ͡ ° ͜ʖ ͡ ° ̲̅) ̲̅ $ ̲̅],tiền bạc,kaomoji
$ ̲̅ (̲̅ιο̲̅̅) ̲̅ $ ̲̅],tiền bạc,kaomoji
$-,tiền bạc,western
%-),kính,western
%￭.￭%,ngạc nhiên,kaomoji
'''⌐(ಠ۾ಠ)¬''',sự tức giận,kaomoji
'(ﾟ▽ﾟ)',mỉm cười,kaomoji
'̿'\̵͇̿̿\з=( ͠° ͟ʖ ͡°)=ε/̵͇̿̿/'̿,súng,kaomoji
'̿'\̵͇̿̿\з=( ͡° ͜ʖ ͡°)=ε/̵͇̿̿/’̿’̿,súng,kaomoji
(   +   )   (   +   ),ngực,kaomoji
(   -  3-(◡‿◡✿),hoa,kaomoji
(   -‿-)/🍘,đồ ăn,kaomoji
(   -‿-)/🍙,đồ ăn,kaomoji
(   >ω<)♡(>ω< ✿),hoa,kaomoji
(   ^-^  )_旦””,đồ ăn,kaomoji
(   ^3)(´ ❥ `),trái tim,kaomoji
(   ^_^) \/(^_^✿),hoa,kaomoji
(   ° ᴗ°)~ð  (/❛o❛\),đề xuất,kaomoji
(   °0°)  💻🎮ε -(°・° ),máy tính,kaomoji
(   °∀°)八 (´ ꒳ ` ✿),hoa,kaomoji
(   ˘³˘)(^▿^),hôn,kaomoji
(   •̀ᴗ•́ )(◉ε◉  ),mỉm cười,kaomoji
(   •̀ᴗ•́ )♡(^ε^  ),trái tim,kaomoji
(   •̀ᴗ•́ )♡(^ε◉  ),trái tim,kaomoji
(   •̀ᴗ•́ )♡(◉ε◉  ),trái tim,kaomoji
(   •̀ᴗ•́ )❤️(•́ ω •̀๑ ),trái tim,kaomoji
(   •̀ᴗ•́ )❤️(❛ᴗ❛๑ ),trái tim,kaomoji
(   •̀ᴗ•́)و ̑(🌸ºั0ºั)( •ω• ⋆ ),hoa,kaomoji
(   ≧≦) ❤️❤️(≧◡≦✿),hoa,kaomoji
(   ●∀● ),mỉm cười,kaomoji
(   ◕ᗜ◕)(●ε●๑🌸),hoa,kaomoji
(   ◕ᗜ◕)(●ε●🌸),hoa,kaomoji
(   ㅅ   ),mông,kaomoji
"(   ＾∇＾) 
(=ↀωↀ=)
(っ˘з(˘⌣˘ )",hôn,kaomoji
(   ･ω･)b♡,trái tim,kaomoji
(   ･｀ω･)b♡,trái tim,kaomoji
(  #`⌂´)/┌┛,trận đánh,kaomoji
(  *∵*  ),đỏ mặt,kaomoji
