content,sentiment_label,original_sentiment,emoticon_type,source_column,dataset_source,split
Mát thế này cứ như mùa đông giữa hè luôn :)),positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
"Ve chắc hoang mang lắm, hè đâu mà kêu :)))",negative,toxic,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
"Sáng dậy tưởng mùa đông, hóa ra Hà Nội :))",neutral,neutral,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
"Ve chắc shock, hè mà lạnh thế này :)))",negative,toxic,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
"Hè mà lạnh 20 độ, Hà Nội đúng chất :))",neutral,neutral,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
"Ve chắc buồn, lạnh thế này kêu sao nổi :)))",negative,toxic,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
Ai ngờ hè mà lôi chăn bông ra đắp :)),neutral,neutral,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
Ve chắc nghĩ: hè này nghỉ việc :))),negative,toxic,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
"Hè mà lạnh 20 độ, đúng kiểu Hà Nội :))",positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
Ve chắc hoang mang: hè đâu mà kêu :))),negative,toxic,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
Thời tiết kiểu này ve chắc nghỉ hát :)),negative,toxic,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
Tui tưởng người Nhật lồng chứ =)),neutral,neutral,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
cả 2 đều có Ny và Ny cả 2 đang ngồi kế nhau=))),positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
t vừa đọc vừa rùng mình nha :))),positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
vô quán ăn mặt bằng chứ k ăn đồ ăn:),negative,negative,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
hay nhấn mạnh chữ quận 1:)),negative,negative,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
"kệ, miễn tui không phải vậy là được =))",positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
Bạn ơi nhờ quốc khánh đổi chỗ tui với=)))),positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
tui mà học chung là hỏng hết môn =))),positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
giảng viên chắc muốn đổi lớp dạy =)),positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
mặt đau nhưng lòng hạnh phúc =)),positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
mệt chết :))),neutral,neutral,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
số hưởng nhất VN:)),positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
:))) má anh vĩ ơiiiiii a vua chúa quáaa,positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
này là đi học hay đi làm người mẫu vậy :))),positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
có ai thấy quen quen không :)),positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
lớn r mà đầu nghĩ j v:),positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
"Dạ, em nghèo :)))",positive,positive,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
Game này pay-to-win rõ ràng luôn,negative,negative,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
noi lo xo,negative,negative,western_emoticon,comment,vanhai123/vietnamese-social-comments,train
"(----- SHARES -----) Cám ơn bạn đã đọc và like stt này. Xin bạn hãy nhấn vào nút SHARE để các em tăng thêm cơ hội được sốnG

[HCM ] #CẦNHỖTRỢ
Mong gặp được người có lòng giúp đỡ bé Lu... SĐT liên hệ : 0903 127 371 (gặp San) - 0902 584 917 (gặp Quân) Xin cảm ơn mọi người !
 Liên hệ fb : https://www.facebook.com/Jer.nguyen?fref=photo

Jeremy Nguyen

[TP.HCM]
Bé Lu của mình bị xe đụng ngay trước cửa nhà cách đây cũng một tuần rồi, nhưng bé còn sống, nội tạng và xương không có vấn đề gì, xương sọ có một vết nứ",positive,Tích cực,western_emoticon,Title,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) *** TUYỂN Gấp Công Nhân kho sữa Vinamilk, !!!
- Do nhu cầu vận chuyển và phân phối sản phẩm, nhà phân phối sữa Vinamikl chúng tôi cần thêm 8 Nam sắp xếp thùng sữa Vinamikl tại Kho (thùng 25kg). Làm việc có băng chuyền băng tải và xe nâng hỗ trợ.
- Làm việc vào giờ hành chính: Sáng từ 7h- 11h ; Chiều Từ 13h- 17h; Chủ nhật, ngày lễ lương x2. (nhận làm thời vụ hoặc lâu dài)
- Lương: 370k/ ngày + 500(chuyên cần) + Bao ở. Lãnh lương ngày .
- Làm việc tại TP HCM ( Q2,Q7, Thủ Đức) . Bình Dương , Đồng Nai,Long an
*** Chi tiết liên hệ:: Anh Hoàng. Tel_:0965.327.863_ (Quản lí)_ ko_SMS",neutral,Trung lập,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
"(----- SHARES -----) *** TUYỂN Gấp Công Nhân kho sữa Vinamilk, !!!
- Do nhu cầu vận chuyển và phân phối sản phẩm, nhà phân phối sữa Vinamikl chúng tôi cần thêm 8 Nam sắp xếp thùng sữa Vinamikl tại Kho (thùng 25kg). Làm việc có băng chuyền băng tải và xe nâng hỗ trợ.
- Làm việc vào giờ hành chính: Sáng từ 7h- 11h ; Chiều Từ 13h- 17h; Chủ nhật, ngày lễ được nghỉ. (nhận làm thời vụ hoặc lâu dài)
- Lương: 370k/ ngày + 500(chuyên cần) + Bao ở. Lãnh lương ngày .
- Làm việc tại TP HCM ( Q2,Q7, Thủ Đức) . Bình Dương , Đồng Nai,Long an
*** Chi tiết liên hệ:: Anh Hoàng. Tel_:0968,875.402_ (Quản lí)_ ko_SMS",neutral,Trung lập,western_emoticon,Content,minhtoan/vietnamese-comment-sentiment,train
