abbrev,formal
t,tôi
m,mày
mk,mình
mik,mình
k,không
ko,không
hk,không
đc,được
dc,được
vs,với
v,vậy
j,gì
z,vậy
ny,người yêu
cx,cũng
c,cũng
r,rồi
trc,trước
nc,nói chuyện
hnay,hôm nay
hqua,hôm qua
vc,vậy chứ
tks,cảm ơn
thanks,cảm ơn
đ,đâu
b,bạn
bn,bạn
ng,người
ngta,người ta
rep,trả lời
ms,mới
đag,đang
bh,bây giờ
h,giờ
lm,làm
đk,được
bt,bình thường
ntn,như thế nào
nha,nhé
nhá,nhé
hả,hả
hử,hả
hơ,hả
l, lồn
loz, lồn
lz, lồn
lon, lồn
c, cặc
cac, cặc
cc, con cặc
cl, cái lồn
dm, đụ mẹ
đm, đụ mẹ
ml, mặt lồn
cmm, con mẹ mày
dcm, địt con mẹ
đcm, địt con mẹ
vl, vãi lồn
vcl, vãi cả lồn
vkl, vãi cả lồn 
